"base_note","product_id"
茉莉,1171
虹膜,1172
乳香脂杜松雪松琥珀,1173
加糖的檀香,1174
麝香,1175
維吉尼亞雪松,1176
零陵香,1177
麝香,1178
雲呢拿香草,1179
香根草雪松,1180
琥珀木,1181
麝香,1182
安息香,1183
零陵香木,1184
雪松,1185
零陵香豆,1186
白麝香,1187
肉荳蔻,1188
賽普拉斯,1189
狀香草,1190
喀什米爾木,1191
零陵香豆,1192
廣藿香,1193
琥珀木,1194
麝香,1195
零陵香豆,1196
檀香,1197
白麝香,1198
蜂蠟,1199
零陵香豆,1200
苔蘚,1201
香根草,1202
雪松木,1203
麝香,1204
木質元素,1205
芳香草本,1206
皮革,1207
黑香豆,1208
琥珀,1209
麝香,1210
橡苔,1211
奶油凍,1212
巧克力,1213
咖啡,1214
麝香廣藿香琥珀香草,1215
琥珀,1216
檀香,1217
麝香,1218
檀香,1219
琥珀,1220
麝香,1221
香草,1222
橡苔,1223
皮革,1224
檀香,1225
零陵香豆,1226
琥珀,1227
椰子,1228
香草,1229
橡苔,1230
雪松,1231
nan,1232
海狸香,1233
廣藿香,1234
零陵香木,1235
香,1236
雪松,1237
氨溴酸,1238
麝香,1239
木香,1240
香草,1241
木本,1242
麝香,1243
廣藿香,1244
琥珀,1245
印度尼西亞廣藿香白木白麝香,1246
廣藿香,1247
橡樹苔,1248
香根草,1249
樹林,1250
麝香,1251
保加利亞玫瑰絕對香氣,1252
白麝香,1253
琥珀,1254
檀香木,1255
琥珀,1256
藏紅花,1257
廣藿香,1258
橡木,1259
檀香,1260
檀香木,1261
琥珀,1262
香草,1263
雪松,1264
廣藿香,1265
麝香,1266
樹林,1267
海地香根草,1268
麝香,1269
羊絨木,1270
nan,1271
琥珀,1272
廣藿香,1273
雪松,1274
廣藿香,1275
雪松,1276
琥珀,1277
檀香,1278
羊絨木,1279
香草,1280
琥珀,1281
麝香,1282
檀香,1283
雪松,1284
烏木和琥珀,1285
勞丹脂,1286
零陵香豆,1287
廣藿香,1288
皮革,1289
雪松,1290
廣藿香,1291
羊絨木,1292
麝香,1293
勞丹脂,1294
皮革,1295
檀香,1296
零陵香豆,1297
廣藿香,1298
香草,1299
藏紅花,1300
金琥珀色,1301
琥珀,1302
苔蘚,1303
紅色木材,1304
琥珀,1305
芳香草藥,1306
麝香,1307
廣藿香,1308
香草,1309
香根草,1310
香根草,1311
廣藿香,1312
香,1313
麝香,1314
弗吉尼亞州雪松,1315
琥珀,1316
天芥菜,1317
麝香,1318
雪松,1319
大溪地香根草,1320
麝香,1321
檀香,1322
雪松,1323
香根草,1324
雪松,1325
香草,1326
檀香木,1327
香根草,1328
鳶尾,1329
檀香,1330
零陵香豆,1331
香草,1332
木香,1333
維吉尼亞雪松,1334
香根草,1335
絨面革,1336
龍涎香,1337
尖錦緞,1338
廣藿香,1339
百葉薔薇玫瑰,1340
零陵香豆,1341
琥珀,1342
香根草,1343
檀香,1344
鳶尾草,1345
安息香,1346
nan,1347
nan,1348
雪松樹脂,1349
檀香木,1350
果仁糖,1351
麝香,1352
麝香,1353
弗吉尼亞雪松,1354
虹膜,1355
琥珀,1356
零陵香木,1357
橡苔,1358
廣藿香,1359
龍涎香,1360
麝香,1361
花梨木,1362
零陵香豆,1363
乾草,1364
香豆素,1365
焦糖,1366
勞丹脂,1367
廣藿香,1368
皮革,1369
琥珀,1370
檀香,1371
琥珀,1372
廣藿香,1373
麝香,1374
雪松,1375
安息香,1376
nan,1377
nan,1378
煙燻廣藿香,1379
麝香,1380
弗吉尼亞州雪松,1381
香草,1382
nan,1383
馬達加斯加香草,1384
皮革,1385
琥珀木,1386
檀香木,1387
琥珀,1388
木質香,1389
麝香,1390
雪松,1391
巴西紅木,1392
安息香,1393
琥珀木,1394
香草,1395
廣藿香,1396
羊絨木,1397
香根草,1398
麝香,1399
檀香,1400
廣藿香,1401
麝香,1402
羊絨木,1403
香,1404
麝香,1405
香葉油,1406
安眠酮,1407
香草,1408
麝香,1409
琥珀木,1410
nan,1411
廣藿香,1412
苔蘚,1413
椰子,1414
檀香,1415
琥珀,1416
琥珀雪松,1417
羊絨木,1418
麝香,1419
香根草雪松零陵香豆檀香,1420
大溪地香草,1421
檀香,1422
安息香,1423
廣藿香,1424
龍涎香,1425
香草,1426
白麝香檀香,1427
雪松,1428
麝香,1429
白木,1430
琥珀,1431
香草,1432
檀香木,1433
雪松,1434
龍涎香,1435
nan,1436
雪松,1437
拉巴丹,1438
麝香,1439
海狸香,1440
木質元素,1441
香,1442
麝香,1443
琥珀木,1444
檀香木,1445
椰子,1446
檀香,1447
麝香,1448
竹子,1449
琥珀,1450
雪松木,1451
奶油木香,1452
木香,1453
琥珀,1454
香草,1455
檀香,1456
薰草豆,1457
香草,1458
香脂,1459
廣藿香,1460
沒藥,1461
雪松,1462
零陵香豆,1463
nan,1464
白麝香,1465
蜂蜜,1466
木質元素,1467
香草,1468
